id	latin_name	phenological_event	start_month	start_day	end_month	end_day	practice	detail
98	Raphanus sativus		2	1	9	28	sew seed	
99	Brassica napus napobrassica		6	1	7	28	sew seed	
100	Spinacia oleracea		1	1	4	28	sew seed	
101	Spinacia oleracea		6	1	11	28	sew seed	
104	Beta vulgaris flavescens		2	1	6	28	sew seed	
106	Brassica rapa		3	1	7	28	sew seed	
107	Prunus persica		1	1	1	31	prune	prune and make sure they're covered against peach leaf curl
108	Rheum x cultorum		1	1	1	31	weed	weed. Sea soil and ash on Rhubarb, cover with remay.
109	Allium sativum		2	1	2	28	fertilize	side dress with compost
110	Rubus idaeus		2	1	2	28	fertilize	side dress with compost
112	Spinacia oleracea		1	15	1	31	sew in green house	seed in trays or pot
113	Brassica rapa chinensis		1	15	1	31	sew in green house	seed in trays or pot
114	Eruca vesicaria sativa		1	15	1	31	sew in green house	seed in trays or pot
115	Brassica rapa nipposinica		1	15	1	31	sew in green house	seed in trays or pot
116	Apium graveolens rapaceum		1	15	1	31	sew in green house	seed in trays or pot
117	Apium graveolens dulce		1	15	1	31	sew seed	seed in trays or pots
118	Petroselinum crispum		1	15	1	31	sew in green house	seed in trays or pot
119	Rucola sativa		1	15	1	31	sew in green house	seed in trays or pot
120	Spinacia oleracea		1	15	1	31	sew seed	directseed cold rame
121	Raphanus landra		1	15	1	31	sew seed	directseed cold rame
122	Coriandrum sativum		1	15	1	31	sew seed	directseed cold rame
123	Anethum graveolens		1	15	1	31	sew seed	directseed cold rame
124	Anthriscus cerefolium		1	15	1	31	sew seed	directseed cold rame
125	Claytonia perfoliata		1	15	1	31	sew seed	directseed cold rame
126	Eruca vesicaria sativa		1	15	1	31	sew seed	directseed cold rame
127	Brassica rapa nipposinica		1	15	1	31	sew seed	directseed cold rame
128	Malus angustifolia		2	1	2	28	prune	
129	Malus domestica		2	1	2	28	prune	
130	Pyrus communis sativa		2	1	2	28	prune	
131	Spinacia oleracea		2	1	2	15	sew in green house	
132	Abies alba		9	1	10	28	harvest seeds	
133	Abies balsamea		9	1	10	28	harvest seeds	
134	Abies concolor		9	1	10	28	harvest seeds	
135	Abies fraseri		9	1	10	28	harvest seeds	
136	Abies grandis		9	1	10	28	harvest seeds	
137	Abies veitchii		9	1	10	28	harvest seeds	
138	Abies veitchii sikokiana		9	1	10	28	harvest seeds	
139	Abobra tenuifolia		9	1	10	28	harvest seeds	
140	Acer campestre		9	1	10	28	harvest seeds	
141	Acer ginnala		9	1	10	28	harvest seeds	
142	Acer mono		9	1	10	28	harvest seeds	
143	Acer negundo		9	1	10	28	harvest seeds	
144	Acer pectinatum		9	1	10	28	harvest seeds	
145	Acer platanoides		9	1	10	28	harvest seeds	
146	Acer pseudoplatanus		9	1	10	28	harvest seeds	
147	Acer ukurunduense caudatum		9	1	10	28	harvest seeds	
148	Achyranthes bidentata		9	1	10	28	harvest seeds	
149	Aconitum heterophyllum		9	1	10	28	harvest seeds	
150	Adenophora divaricata		9	1	10	28	harvest seeds	
151	Adenophora nikoensis		9	1	10	28	harvest seeds	
152	Ailanthus altissima		9	1	11	28	harvest seeds	
153	Akebia quinata		9	1	10	28	harvest seeds	
154	Akebia trifoliata		9	1	10	28	harvest seeds	
155	Akebia x pentaphylla		9	1	10	28	harvest seeds	
156	Albizia julibrissin		9	1	11	28	harvest seeds	
157	Aleurites fordii		9	1	11	28	harvest seeds	
158	Allium tuberosum		9	1	10	28	harvest seeds	
159	Alnus glutinosa		9	1	11	28	harvest seeds	
160	Alnus rubra		9	1	10	28	harvest seeds	
161	Aloysia triphylla		9	1	10	28	harvest seeds	
162	Amphicarpaea bracteata		9	1	10	28	harvest seeds	
163	Angelica crucifolia		9	1	11	28	harvest seeds	
164	Angelica sinensis		9	1	10	28	harvest seeds	
165	Aphananthe aspera		9	1	10	28	harvest seeds	
166	Araucaria araucana		9	1	10	28	harvest seeds	
167	Araucaria bidwillii		9	1	10	28	harvest seeds	
168	Arbutus andrachne		9	1	10	28	harvest seeds	
169	Arctium lappa		9	1	10	28	harvest seeds	
170	Arctium minus		9	1	10	28	harvest seeds	
171	Ardisia crenata		9	1	12	28	harvest seeds	
172	Ardisia crispa		9	1	12	28	harvest seeds	
173	Aristolochia contorta		9	1	10	28	harvest seeds	
174	Aristolochia debilis		9	1	10	28	harvest seeds	
175	Aristolochia fangchi		9	1	10	28	harvest seeds	
176	Aristolochia macrophylla		9	1	10	28	harvest seeds	
177	Artemisia annua		9	1	10	28	harvest seeds	
178	Artemisia campestris		9	1	10	28	harvest seeds	
