id	plot	latin_name	priority	sited	bed	quantity	cultivar	notes
2724	6411 Sooke Rd.	Mycelis muralis		FALSE	17	0		
2725	6411 Sooke Rd.	Mycelis muralis		FALSE	17	0		
2726	6411 Sooke Rd.	Nepeta cataria		FALSE		0		
2727	6411 Sooke Rd.	Nepeta cataria		FALSE		0		
2728	6411 Sooke Rd.	Ocimum basilicum		FALSE		0		
2729	6411 Sooke Rd.	Ocimum basilicum		FALSE		0		
2730	6411 Sooke Rd.	Ocimum basilicum		FALSE		0		
2731	6411 Sooke Rd.	Ocimum basilicum		FALSE	35	0		
2732	6411 Sooke Rd.	Ocimum basilicum		FALSE		0		
2733	6411 Sooke Rd.	Ocimum basilicum		FALSE	35	0		
2734	6411 Sooke Rd.	Oemleria cerasiformis		FALSE		0		
2735	6411 Sooke Rd.	Oemleria cerasiformis		FALSE		0		
2736	6411 Sooke Rd.	Oemleria cerasiformis		FALSE	17	0		
2737	6411 Sooke Rd.	Oemleria cerasiformis		FALSE	17	0		
2738	6411 Sooke Rd.	Oemleria cerasiformis		FALSE	17	0		
2739	6411 Sooke Rd.	Oemleria cerasiformis		FALSE	17	0		
2740	6411 Sooke Rd.	Oenanthe sarmentosa		FALSE		0		
2741	6411 Sooke Rd.	Oenanthe sarmentosa		FALSE		0		
2742	6411 Sooke Rd.	Origanum vulgare		FALSE		0		
2743	6411 Sooke Rd.	Origanum vulgare		FALSE		0		
2744	6411 Sooke Rd.	Origanum vulgare		FALSE		0		
2745	6411 Sooke Rd.	Origanum vulgare		FALSE		0		
2746	6411 Sooke Rd.	Oxalis oregana		FALSE		0		
2747	6411 Sooke Rd.	Oxalis oregana		FALSE		0		
2748	6411 Sooke Rd.	Papaver orientale		FALSE	32	0		
2749	6411 Sooke Rd.	Papaver orientale		FALSE	32	0		
2750	6411 Sooke Rd.	Pastinaca sativa		FALSE	56	0		
2751	6411 Sooke Rd.	Pastinaca sativa		FALSE	56	0		
2752	6411 Sooke Rd.	Perilla frutescens		FALSE		0		
2753	6411 Sooke Rd.	Perilla frutescens		FALSE		0		
2754	6411 Sooke Rd.	Petroselinum crispum		FALSE	61	0		
2755	6411 Sooke Rd.	Petroselinum crispum		FALSE	27	0		
2756	6411 Sooke Rd.	Petroselinum crispum		FALSE	61	0		
2757	6411 Sooke Rd.	Petroselinum crispum		FALSE	27	0		
2758	6411 Sooke Rd.	Phaseolus coccineus		FALSE	13	0		
2759	6411 Sooke Rd.	Phaseolus coccineus		FALSE	13	0		
2760	6411 Sooke Rd.	Phaseolus vulgaris		FALSE	57	0		2024
2762	6411 Sooke Rd.	Phragmites australis		FALSE	58	0		
2763	6411 Sooke Rd.	Phragmites australis		FALSE	58	0		
2764	6411 Sooke Rd.	Phyllostachys nigra		FALSE	30	0		
2765	6411 Sooke Rd.	Phyllostachys nigra		FALSE	30	0		
2766	6411 Sooke Rd.	Pisum sativum		FALSE		0		
2767	6411 Sooke Rd.	Pisum sativum		FALSE		0		
2768	6411 Sooke Rd.	Plantago lanceolata		FALSE	30	0		
2769	6411 Sooke Rd.	Plantago lanceolata		FALSE	30	0		
2770	6411 Sooke Rd.	Plantago major		FALSE	30	0		
2771	6411 Sooke Rd.	Plantago major		FALSE	30	0		
2772	6411 Sooke Rd.	Polystichum munitum		FALSE	17	0		
2773	6411 Sooke Rd.	Polystichum munitum		FALSE	17	0		
2774	6411 Sooke Rd.	Portulaca oleracea		FALSE	35	0		
2775	6411 Sooke Rd.	Portulaca oleracea		FALSE	35	0		
2776	6411 Sooke Rd.	Portulaca oleracea		FALSE	60	0		
2777	6411 Sooke Rd.	Portulaca oleracea		FALSE	60	0		
2778	6411 Sooke Rd.	Prunella vulgaris		FALSE	30	0		
2779	6411 Sooke Rd.	Prunella vulgaris		FALSE		0		
2780	6411 Sooke Rd.	Prunella vulgaris		FALSE	22	0		
2781	6411 Sooke Rd.	Prunella vulgaris		FALSE	22	0		
2782	6411 Sooke Rd.	Prunella vulgaris		FALSE	62	0		
2783	6411 Sooke Rd.	Prunella vulgaris		FALSE	30	0		
2784	6411 Sooke Rd.	Prunella vulgaris		FALSE		0		
2785	6411 Sooke Rd.	Prunella vulgaris		FALSE	62	0		
2786	6411 Sooke Rd.	Prunella vulgaris		FALSE	17	0		
2787	6411 Sooke Rd.	Prunella vulgaris		FALSE	17	0		
2788	6411 Sooke Rd.	Prunus avium		FALSE		0		
2789	6411 Sooke Rd.	Prunus avium		FALSE		0		
2790	6411 Sooke Rd.	Prunus cerasifera		FALSE		0		
2791	6411 Sooke Rd.	Prunus cerasifera		FALSE	46	0		
2792	6411 Sooke Rd.	Prunus cerasifera		FALSE	51	0		
2793	6411 Sooke Rd.	Prunus cerasifera		FALSE	5	0		
2794	6411 Sooke Rd.	Prunus cerasifera		FALSE	28	0		
2795	6411 Sooke Rd.	Prunus cerasifera		FALSE	5	0		
2796	6411 Sooke Rd.	Prunus cerasifera		FALSE	28	0		
2797	6411 Sooke Rd.	Prunus cerasifera		FALSE	46	0		
2798	6411 Sooke Rd.	Prunus cerasifera		FALSE	51	0		
2799	6411 Sooke Rd.	Prunus cerasifera		FALSE		0		
2800	6411 Sooke Rd.	Prunus cerasifera		FALSE		0		
2801	6411 Sooke Rd.	Prunus cerasifera		FALSE		0		
2802	6411 Sooke Rd.	Prunus domestica		FALSE	34	0		
2803	6411 Sooke Rd.	Prunus domestica		FALSE	34	0		
2804	6411 Sooke Rd.	Prunus domestica		FALSE	42	0		
2805	6411 Sooke Rd.	Prunus domestica		FALSE	42	0		
2806	6411 Sooke Rd.	Prunus laurocerasus		FALSE		0		
2807	6411 Sooke Rd.	Prunus laurocerasus		FALSE		0		
2808	6411 Sooke Rd.	Prunus laurocerasus		FALSE		0		
2809	6411 Sooke Rd.	Prunus laurocerasus		FALSE		0		
2810	6411 Sooke Rd.	Pseudotsuga menziesii		FALSE	20	0		
2811	6411 Sooke Rd.	Pseudotsuga menziesii		FALSE		0		
2812	6411 Sooke Rd.	Pseudotsuga menziesii		FALSE	20	0		
2813	6411 Sooke Rd.	Pseudotsuga menziesii		FALSE		0		
2814	6411 Sooke Rd.	Pyrola minor		FALSE	30	0		
2815	6411 Sooke Rd.	Pyrola minor		FALSE	30	0		
2816	6411 Sooke Rd.	Ribes montigenum		FALSE		0		
2817	6411 Sooke Rd.	Ribes montigenum		FALSE		0		
2818	6411 Sooke Rd.	Ribes nigrum		FALSE	7	0		
2819	6411 Sooke Rd.	Ribes nigrum		FALSE	7	0		
2820	6411 Sooke Rd.	Ribes sanguineum		FALSE	31	0		
