id	latin_name	initials	cultivar	icon_url
113	Hamamelis virginiana	Hv	.	../Drawing/Icons/Plants/Plants/Hamamelis_virginiana(Hv).svg
114	Helianthus annuus	Ha	.	../Drawing/Icons/Plants/Plants/Helianthus_annuus(Ha).svg
115	Helianthus tuberosus	Ht	.	../Drawing/Icons/Plants/Plants/Helianthus_tuberosus(Ht).svg
116	Hemerocallis lilioasphodelus	Hl	.	../Drawing/Icons/Plants/Plants/Hemerocallis_lilioasphodelus(Hl).svg
117	Hibiscus syriacus	Hs	.	../Drawing/Icons/Plants/Plants/Hibiscus_syriacus(Hs).svg
118	Hippophae rhamnoides	Hr	.	../Drawing/Icons/Plants/Plants/Hippophae_rhamnoides(Hr).svg
119	Holodiscus discolor	Hd	.	../Drawing/Icons/Plants/Plants/Holodiscus_discolor(Hd).svg
120	Humulus lupulus	Hl	.	../Drawing/Icons/Plants/Plants/Humulus_lupulus(Hl).svg
121	Hydrangea macrophylla	Hm	.	../Drawing/Icons/Plants/Plants/Hydrangea_macrophylla(Hm).svg
122	Hydrangea serrata	Hs	.	../Drawing/Icons/Plants/Plants/Hydrangea_serrata(Hs).svg
123	Hypericum perforatum	Hp	.	../Drawing/Icons/Plants/Plants/Hypericum_perforatum(Hp).svg
124	Hyssopus officinalis	Ho	.	../Drawing/Icons/Plants/Plants/Hyssopus_officinalis(Ho).svg
125	Imperata cylindrica	Ic	.	../Drawing/Icons/Plants/Plants/Imperata_cylindrica(Ic).svg
126	Juglans ailanthifolia cordiformis	Jac	.	../Drawing/Icons/Plants/Plants/Juglans_ailanthifolia_cordiformis(Jac).svg
127	Juglans ailanthifolia	Jai	.	../Drawing/Icons/Plants/Plants/Juglans_ailanthifolia(Jai).svg
128	Juglans cinerea	Jc	.	../Drawing/Icons/Plants/Plants/Juglans_cinerea(Jc).svg
129	Juglans nigra	Jn	.	../Drawing/Icons/Plants/Plants/Juglans_nigra(Jn).svg
130	Juglans regia	Jr	.	../Drawing/Icons/Plants/Plants/Juglans_regia(Jr).svg
131	Juniperus communis	Jc	.	../Drawing/Icons/Plants/Plants/Juniperus_communis(Jc).svg
132	Lactuca sativa	Ls	.	../Drawing/Icons/Plants/Plants/Lactuca_sativa(Ls).svg
133	Laurus nobilis	Ln	.	../Drawing/Icons/Plants/Plants/Laurus_nobilis(Ln).svg
134	Lavandula angustifolia	La	.	../Drawing/Icons/Plants/Plants/Lavandula_angustifolia(La).svg
135	Lentinula edodes	Le	.	../Drawing/Icons/Plants/Plants/Lentinula_edodes(Le).svg
136	Leucanthemum vulgare	Lv	.	../Drawing/Icons/Plants/Plants/Leucanthemum_vulgare(Lv).svg
137	Levisticum officinale	Lo	.	../Drawing/Icons/Plants/Plants/Levisticum_officinale(Lo).svg
138	Leycesteria formosa	Lf	.	../Drawing/Icons/Plants/Plants/Leycesteria_formosa(Lf).svg
139	Lonicera caerulea	Lc	.	../Drawing/Icons/Plants/Plants/Lonicera_caerulea(Lc).svg
140	Lonicera ciliosa	Lc	.	../Drawing/Icons/Plants/Plants/Lonicera_ciliosa(Lc).svg
141	Lupinus polyphyllus	Lp	.	../Drawing/Icons/Plants/Plants/Lupinus_polyphyllus(Lp).svg
