ID	Latin Name	Common Name	Part of plant	Dry or Fresh weight	Water	Calories	Protein	Fat	Carbohydrate	Fibre	Ash	Calcium	Phosphorus	Iron	Magnesium	Sodium	Potassium	Zinc	VitaminA	Thiamine	Riboflavin	Niacin	VitaminC	VitaminB6	Source	Notes
121	Raphanus sativus	Radish	Leaves	D	0	287	28.7	5.2	49.6	9.6	16.5	1913	261	35.7		956	4348		21	0.7	2.43	34.8	704		218	Vitamin A is mg not IU
122	Robinia pseudoacacia	Black locust	Seed	D			21	3		28	6.8	1400	0.3												218, 269	
123	Rumex crispus	Curled dock	Leaves	F	92.6	21	1.5	0.3	4.1	0.9	1.5	74	56	5.6					1.38	0.06	0.08	0.4	30		218	The figure for vitamin A is in milligrammes.
124	Sanguisorba minor	Salad burnet	Leaves	D	0		11.1	2	80.4	18	6.5														218	
125	Secale cereale	Rye	Seed	D	0	380	13.2	2.5	82.5	2.2	2	44	400	4		4	524		0	0.4	0.24	1.8	0		218	The figures given here are the median of a range given in the report.
126	Sedum makinoi		Leaves	D	0	361	13.1	16.4	55.7	29.5	14.8	3820	885	41					574	2.46	1.97		492		218	
127	Setaria italica	Foxtail millet	Seed	D	0	384	10.7	3.3	84.2	1.4	1.8	37	275	6.2		8	281		0	0.48	0.14	2.48	0		218	
128	Sinapis alba	White mustard	Seed	D	0	500	27.2	35	34	6	4.5	500	800	16		5	732		400	0.5	0.37	8	0		218	These are median figures of a range given in the report.
129	Solanum nigrum	Black nightshade	Leaves	F	86.4	42	4	0.7	7.6	1.6	1.7	210	70	5					2000	0.15	0.15	1.2	43		218	The figures given here are the median of a wide range given in the report.
130	Sonchus oleraceus	Sowthistle	Leaves	D	0	265	28	4.5	45	5.9	22	1500	500	45.6					35	1.5	5	5	60			
131	Spinacia oleracea	Spinach	Leaves	D	0	285	28	5.5	40	8	23	800	415	80		650	4500		50	0.7	2	8	600		218	The values here are based on the median figures of those quoted in the report. Vitamin A figures are in milligrammes.
132	Stellaria media	Chickweed	Leaves	D	0		14.5	2.4	63.9	20.5	19.3								30	0.02	0.14	0.51	375		218	The figure for vitamin A is in mg
133	Thlaspi arvense	Pennycress	Leaves	D	0		54.2		33.1														1900		218	
134	Thlaspi arvense	Pennycress	Seed	D	0		25	45																	218	The figures given for fat were a range from 28.2 - 62.2 grammes.
