id	latin_name	initials	cultivar	icon_url
86	Daucus carota	Dcw	.	../Drawing/Icons/Plants/Plants/Daucus_carota(Dcw).svg
87	Daucus carota sativus	Dcs	.	../Drawing/Icons/Plants/Plants/Daucus_carota_sativus(Dcs).svg
88	Dianthus barbatus	Db	.	../Drawing/Icons/Plants/Plants/Dianthus_barbatus(Db).svg
89	Dianthus caryophyllus	Dc	.	../Drawing/Icons/Plants/Plants/Dianthus_caryophyllus(Dc).svg
90	Diospiros kaki	Dk	.	../Drawing/Icons/Plants/Plants/Diospiros_kaki(Dk).svg
91	Diospiros virginiana	Dv	.	../Drawing/Icons/Plants/Plants/Diospiros_virginiana(Dv).svg
92	Diospyros lotus	Dl	.	../Drawing/Icons/Plants/Plants/Diospyros_lotus(Dl).svg
93	Echinacea purpurea	Ep	.	../Drawing/Icons/Plants/Plants/Echinacea_purpurea(Ep).svg
94	Elaeagnus angustifolia	Ea	.	../Drawing/Icons/Plants/Plants/Elaeagnus_angustifolia(Ea).svg
95	Elaeagnus multiflora	Em	.	../Drawing/Icons/Plants/Plants/Elaeagnus_multiflora(Em).svg
96	Elaeagnus multiflora ovatum	Emo	.	../Drawing/Icons/Plants/Plants/Elaeagnus_multiflora_ovatum(Emo).svg
97	Elaeagnus umbellata	Eu	.	../Drawing/Icons/Plants/Plants/Elaeagnus_umbellata(Eu).svg
98	Elaeagnus x ebbingei	Exe	.	../Drawing/Icons/Plants/Plants/Elaeagnus_x_ebbingei(Exe).svg
99	Equisetum arvense	Ea	.	../Drawing/Icons/Plants/Plants/Equisetum_arvense(Ea).svg
100	Erythronium oregonum	Eo	.	../Drawing/Icons/Plants/Plants/Erythronium_oregonum(Eo).svg
101	Erythronium revolutum	Er	.	../Drawing/Icons/Plants/Plants/Erythronium_revolutum(Er).svg
102	Eschscholzia californica	Ec	.	../Drawing/Icons/Plants/Plants/Eschscholzia_californica(Ec).svg
103	Fagus sylvatica	Fs	.	../Drawing/Icons/Plants/Plants/Fagus_sylvatica(Fs).svg
104	Ficus carica	Fc	.	../Drawing/Icons/Plants/Plants/Ficus_carica(Fc).svg
105	Foeniculum vulgare	Fvu	.	../Drawing/Icons/Plants/Plants/Foeniculum_vulgare(Fvu).svg
106	Foeniculum vulgare azoricum	Fva	.	../Drawing/Icons/Plants/Plants/Foeniculum_vulgare_azoricum(Fva).svg
107	Fragaria x ananassa	Fxa	.	../Drawing/Icons/Plants/Plants/Fragaria_x_ananassa(Fxa).svg
108	Fuchsia coccinea	Fc	.	../Drawing/Icons/Plants/Plants/Fuchsia_coccinea(Fc).svg
109	Galium odoratum	Go	.	../Drawing/Icons/Plants/Plants/Galium_odoratum(Go).svg
110	Gaultheria mucronata	Gm	.	../Drawing/Icons/Plants/Plants/Gaultheria_mucronata(Gm).svg
111	Gaultheria procumbens	Gp	.	../Drawing/Icons/Plants/Plants/Gaultheria_procumbens(Gp).svg
112	Gaultheria shallon	Gs	.	../Drawing/Icons/Plants/Plants/Gaultheria_shallon(Gs).svg
113	Ginkgo biloba	Gb	.	../Drawing/Icons/Plants/Plants/Ginkgo_biloba(Gb).svg
114	Hamamelis virginiana	Hv	.	../Drawing/Icons/Plants/Plants/Hamamelis_virginiana(Hv).svg
115	Helianthus annuus	Ha	.	../Drawing/Icons/Plants/Plants/Helianthus_annuus(Ha).svg
116	Helianthus tuberosus	Ht	.	../Drawing/Icons/Plants/Plants/Helianthus_tuberosus(Ht).svg
117	Hemerocallis lilioasphodelus	Hl	.	../Drawing/Icons/Plants/Plants/Hemerocallis_lilioasphodelus(Hl).svg
118	Hibiscus syriacus	Hs	.	../Drawing/Icons/Plants/Plants/Hibiscus_syriacus(Hs).svg
119	Hippophae rhamnoides	Hr	.	../Drawing/Icons/Plants/Plants/Hippophae_rhamnoides(Hr).svg
120	Holodiscus discolor	Hd	.	../Drawing/Icons/Plants/Plants/Holodiscus_discolor(Hd).svg
121	Humulus lupulus	Hl	.	../Drawing/Icons/Plants/Plants/Humulus_lupulus(Hl).svg
122	Hydrangea macrophylla	Hm	.	../Drawing/Icons/Plants/Plants/Hydrangea_macrophylla(Hm).svg
123	Hydrangea serrata	Hs	.	../Drawing/Icons/Plants/Plants/Hydrangea_serrata(Hs).svg
124	Hypericum perforatum	Hp	.	../Drawing/Icons/Plants/Plants/Hypericum_perforatum(Hp).svg
125	Hyssopus officinalis	Ho	.	../Drawing/Icons/Plants/Plants/Hyssopus_officinalis(Ho).svg
126	Imperata cylindrica	Ic	.	../Drawing/Icons/Plants/Plants/Imperata_cylindrica(Ic).svg
127	Juglans ailanthifolia	Jai	.	../Drawing/Icons/Plants/Plants/Juglans_ailanthifolia(Jai).svg
128	Juglans ailanthifolia cordiformis	Jac	.	../Drawing/Icons/Plants/Plants/Juglans_ailanthifolia_cordiformis(Jac).svg
129	Juglans cinerea	Jc	.	../Drawing/Icons/Plants/Plants/Juglans_cinerea(Jc).svg
130	Juglans nigra	Jn	.	../Drawing/Icons/Plants/Plants/Juglans_nigra(Jn).svg
131	Juglans regia	Jr	.	../Drawing/Icons/Plants/Plants/Juglans_regia(Jr).svg
132	Juniperus communis	Jc	.	../Drawing/Icons/Plants/Plants/Juniperus_communis(Jc).svg
133	Lactuca sativa	Ls	.	../Drawing/Icons/Plants/Plants/Lactuca_sativa(Ls).svg
134	Laurus nobilis	Ln	.	../Drawing/Icons/Plants/Plants/Laurus_nobilis(Ln).svg
135	Lavandula angustifolia	La	.	../Drawing/Icons/Plants/Plants/Lavandula_angustifolia(La).svg
136	Lentinula edodes	Le	.	../Drawing/Icons/Plants/Plants/Lentinula_edodes(Le).svg
137	Leucanthemum vulgare	Lv	.	../Drawing/Icons/Plants/Plants/Leucanthemum_vulgare(Lv).svg
138	Levisticum officinale	Lo	.	../Drawing/Icons/Plants/Plants/Levisticum_officinale(Lo).svg
139	Leycesteria formosa	Lf	.	../Drawing/Icons/Plants/Plants/Leycesteria_formosa(Lf).svg
140	Lonicera caerulea	Lc	.	../Drawing/Icons/Plants/Plants/Lonicera_caerulea(Lc).svg
141	Lonicera ciliosa	Lc	.	../Drawing/Icons/Plants/Plants/Lonicera_ciliosa(Lc).svg
142	Lupinus polyphyllus	Lp	.	../Drawing/Icons/Plants/Plants/Lupinus_polyphyllus(Lp).svg
143	Lycium barbarum	Lb	.	../Drawing/Icons/Plants/Plants/Lycium_barbarum(Lb).svg
144	Lycium chinense	Lc	.	../Drawing/Icons/Plants/Plants/Lycium_chinense(Lc).svg
145	Lycopersicon esculentum	Le	.	../Drawing/Icons/Plants/Plants/Lycopersicon_esculentum(Le).svg
146	Lysichiton americanus	La	.	../Drawing/Icons/Plants/Plants/Lysichiton_americanus(La).svg
147	Mahonia aquifolium	Ma	.	../Drawing/Icons/Plants/Plants/Mahonia_aquifolium(Ma).svg
148	Mahonia nervosa	Mn	.	../Drawing/Icons/Plants/Plants/Mahonia_nervosa(Mn).svg
149	Mahonia x media	Mxm	.	../Drawing/Icons/Plants/Plants/Mahonia_x_media(Mxm).svg
150	Malus domestica	Md	.	../Drawing/Icons/Plants/Plants/Malus_domestica(Md).svg
151	Malus fusca	Mf	.	../Drawing/Icons/Plants/Plants/Malus_fusca(Mf).svg
152	Malva sylvestris	Ms	.	../Drawing/Icons/Plants/Plants/Malva_sylvestris(Ms).svg
153	Matricaria recutita	Mr	.	../Drawing/Icons/Plants/Plants/Matricaria_recutita(Mr).svg
154	Medicago sativa	Ms	.	../Drawing/Icons/Plants/Plants/Medicago_sativa(Ms).svg
155	Melissa officinalis	Mo	.	../Drawing/Icons/Plants/Plants/Melissa_officinalis(Mo).svg
156	Mentha spicata	Ms	.	../Drawing/Icons/Plants/Plants/Mentha_spicata(Ms).svg
157	Mentha x piperita vulgaris	Mxp	.	../Drawing/Icons/Plants/Plants/Mentha_x_piperita_vulgaris(Mxp).svg
158	Mespilus germanica	Mg	.	../Drawing/Icons/Plants/Plants/Mespilus_germanica(Mg).svg
159	Micromeria juliana	Mj	.	../Drawing/Icons/Plants/Plants/Micromeria_juliana(Mj).svg
160	Monarda didyma	Md	.	../Drawing/Icons/Plants/Plants/Monarda_didyma(Md).svg
161	Morus alba	Ma	.	../Drawing/Icons/Plants/Plants/Morus_alba(Ma).svg
162	Morus nigra	Mn	.	../Drawing/Icons/Plants/Plants/Morus_nigra(Mn).svg
163	Myrica californica	Mca	.	../Drawing/Icons/Plants/Plants/Myrica_californica(Mca).svg
164	Myrtus communis	Mco	.	../Drawing/Icons/Plants/Plants/Myrtus_communis(Mco).svg
165	Najas flexilis	Nj	.	../Drawing/Icons/Plants/Plants/Najas_flexilis(Nj).svg
166	Nasturtium microphyllum	Nm	.	../Drawing/Icons/Plants/Plants/Nasturtium_microphyllum(Nm).svg
167	Nasturtium officinale	No	.	../Drawing/Icons/Plants/Plants/Nasturtium_officinale(No).svg
168	Nuphar lutea	Nl	.	../Drawing/Icons/Plants/Plants/Nuphar_lutea(Nl).svg
169	Nuphar polysepala	Np	.	../Drawing/Icons/Plants/Plants/Nuphar_polysepala(Np).svg
170	Ocimum basilicum	Ob	.	../Drawing/Icons/Plants/Plants/Ocimum_basilicum(Ob).svg
171	#VALUE!		.	../Drawing/Icons/Plants/Plants/Oemleria_cerasiformis.svg
172	Origanum majorana	Om	.	../Drawing/Icons/Plants/Plants/Origanum_majorana(Om).svg
173	Origanum vulgare	Ov	.	../Drawing/Icons/Plants/Plants/Origanum_vulgare(Ov).svg
174	Oxalis tuberosa	Ot	.	../Drawing/Icons/Plants/Plants/Oxalis_tuberosa(Ot).svg
175	Oxydendrum arboreum	Oa	.	../Drawing/Icons/Plants/Plants/Oxydendrum_arboreum(Oa).svg
176	Pachysandra terminalis	Pt	.	../Drawing/Icons/Plants/Plants/Pachysandra_terminalis(Pt).svg
177	Papaver nudicaule	Pn	.	../Drawing/Icons/Plants/Plants/Papaver_nudicaule(Pn).svg
178	Passiflora incarnata	Pi	.	../Drawing/Icons/Plants/Plants/Passiflora_incarnata(Pi).svg
179	Petroselinum crispum	Pc	.	../Drawing/Icons/Plants/Plants/Petroselinum_crispum(Pc).svg
180	Phaseolus coccineus	Pc	.	../Drawing/Icons/Plants/Plants/Phaseolus_coccineus(Pc).svg
181	Phormium tenax	Pt	.	../Drawing/Icons/Plants/Plants/Phormium_tenax(Pt).svg
182	Phyllostachys aurea	Pg	.	../Drawing/Icons/Plants/Plants/Phyllostachys_aurea(Pg).svg
183	Phyllostachys aureosulcata	Pa	.	../Drawing/Icons/Plants/Plants/Phyllostachys_aureosulcata(Pa).svg
184	Phyllostachys nigra	Pn	.	../Drawing/Icons/Plants/Plants/Phyllostachys_nigra(Pn).svg
185	Pinus cembra	Pce	.	../Drawing/Icons/Plants/Plants/Pinus_cembra(Pce).svg
186	Pinus contorta	Pco	.	../Drawing/Icons/Plants/Plants/Pinus_contorta(Pco).svg
187	Pinus koraiensis	Pk	.	../Drawing/Icons/Plants/Plants/Pinus_koraiensis(Pk).svg
188	Pleurotus ostreatus	Po	.	../Drawing/Icons/Plants/Plants/Pleurotus_ostreatus(Po).svg
189	Polygonatum biflorum	Pb	.	../Drawing/Icons/Plants/Plants/Polygonatum_biflorum(Pb).svg
190	Polygonatum commutatum	Pc	.	../Drawing/Icons/Plants/Plants/Polygonatum_commutatum(Pc).svg
191	#VALUE!		.	../Drawing/Icons/Plants/Plants/Prunella_vulgaris.svg
192	Prunus americana	Pam	.	../Drawing/Icons/Plants/Plants/Prunus_americana(Pam).svg
193	Prunus armeniaca	Par	.	../Drawing/Icons/Plants/Plants/Prunus_armeniaca(Par).svg
194	Prunus avium	Pav	.	../Drawing/Icons/Plants/Plants/Prunus_avium(Pav).svg
195	Prunus avivum	Paw	.	../Drawing/Icons/Plants/Plants/Prunus_avivum(Paw).svg
196	Prunus cerasifera	Pcr	.	../Drawing/Icons/Plants/Plants/Prunus_cerasifera(Pcr).svg
197	Prunus domestica	Pdo	.	../Drawing/Icons/Plants/Plants/Prunus_domestica(Pdo).svg
198	Prunus dulcis	Pdu	.	../Drawing/Icons/Plants/Plants/Prunus_dulcis(Pdu).svg
199	Prunus laurocerasus	Plo	.	../Drawing/Icons/Plants/Plants/Prunus_laurocerasus(Plo).svg
200	Prunus lusitanica	Plu	.	../Drawing/Icons/Plants/Plants/Prunus_lusitanica(Plu).svg
201	Prunus persica	Ppe	.	../Drawing/Icons/Plants/Plants/Prunus_persica(Ppe).svg
