ID	Latin name	Use
300	Agave parryi	Thatching
301	Agave utahensis discreta	Brush
302	Agave utahensis discreta	Fibre
303	Agave utahensis discreta	Miscellany
304	Agave utahensis discreta	Needles
305	Agave utahensis discreta	Paper
306	Agave utahensis discreta	Pins
307	Agave utahensis discreta	Soap
308	Agave utahensis discreta	Thatching
309	Agave utahensis eborispina	Brush
310	Agave utahensis eborispina	Fibre
311	Agave utahensis eborispina	Miscellany
312	Agave utahensis eborispina	Needles
313	Agave utahensis eborispina	Paper
314	Agave utahensis eborispina	Pins
315	Agave utahensis eborispina	Soap
316	Agave utahensis eborispina	Thatching
317	Ageratum conyzoides	Essential
318	Agoseris glauca	Latex
319	Agrimonia eupatoria	Dye
320	Agropyron elongatum	Biomass
321	Agropyron elongatum	Soil reclamation
322	Ailanthus altissima	Dye
323	Ailanthus altissima	Hedge
324	Ailanthus altissima	Herbicide
325	Ailanthus altissima	Insecticide
326	Ailanthus altissima	Repellent
327	Ailanthus altissima	Soil reclamation
328	Ailanthus altissima	Soil stabilization
329	Ailanthus altissima	Tannin
330	Ailanthus altissima	Wood
331	Ajuga australis	Ground cover
332	Ajuga reptans	Ground cover
333	Akebia quinata	Basketry
334	Akebia quinata	Ground cover
335	Akebia trifoliata	Basketry
336	Akebia x pentaphylla	Basketry
337	Alangium platanifolium	Insecticide
338	Albizia julibrissin	Gum
339	Albizia julibrissin	Plaster
340	Alcea rosea	Compost
341	Alcea rosea	Dye
342	Alcea rosea	Litmus
343	Alcea rosea	Oil
344	Alcea rosea	Paper
345	Alchemilla xanthochlora	Ground cover
346	Aleurites cordata	Oil
347	Aleurites fordii	Insecticide
348	Aleurites fordii	Oil
349	Alkanna tinctoria	Dye
350	Alkanna tinctoria	Litmus
351	Alliaria petiolata	Dye
352	Allium acuminatum	Repellent
353	Allium aflatunense	Repellent
354	Allium akaka	Repellent
355	Allium altaicum	Repellent
356	Allium ampeloprasum	Repellent
357	Allium ampeloprasum babbingtonii	Dye
358	Allium ampeloprasum babbingtonii	Repellent
359	Allium angulare	Repellent
360	Allium angulosum	Repellent
361	Allium atropurpureum	Repellent
362	Allium bisceptrum	Repellent
