ID			Accepted Symbol			Synonym Symbol			Symbol		Scientific Name		Common Name		Genus		Family		Duration		Growth Habit		Native Status		Active Growth Period		After Harvest Regrowth Rate		Bloat		C:N Ratio		Coppice Potential		Fall Conspicuous		Fire Resistance		Flower Color		Flower Conspicuous		Foliage Color		Foliage Porosity Summer		Foliage Porosity Winter		Foliage Texture		Fruit Color		Fruit Conspicuous		Growth Form		Growth Rate		Height at Base Age, Maximum (feet)		Height, Mature (feet)		Known Allelopath		Leaf Retention		Lifespan		Low Growing Grass		Nitrogen Fixation		Resprout Ability		Shape and Orientation		Toxicity		Adapted to Coarse Textured Soils		Adapted to Medium Textured Soils		Adapted to Fine Textured Soils		Anaerobic Tolerance		CaCO<SUB>3</SUB> Tolerance		Cold Stratification Required		Drought Tolerance		Fertility Requirement	Fire Tolerance	Frost Free Days, Minimum	Hedge Tolerance	Moisture Use	pH (Minimum)	pH (Maximum)	Planting Density per Acre, Minimum	Planting Density per Acre, Maximum	Precipitation (Minimum)	Precipitation (Maximum)	Root Depth, Minimum (inches)	Salinity Tolerance	Shade Tolerance	Temperature, Minimum (°F)	Bloom Period	Commercial Availability	Fruit/Seed Abundance	Fruit/Seed Period Begin	Fruit/Seed Period End	Fruit/Seed Persistence	Propogated by Bare Root	Propogated by Bulbs	Propogated by Container	Propogated by Corms	Propogated by Cuttings	Propogated by Seed	Propogated by Sod	Propogated by Sprigs	Propogated by Tubers	Seeds per Pound	Seed Spread Rate	Seedling Vigor	Small Grain	Vegetative Spread Rate	Berry/Nut/Seed Product	Christmas Tree Product	Fodder Product	Fuelwood Product	Lumber Product	Naval Store Product	Nursery Stock Product	Palatable Browse Animal	Palatable Graze Animal	Palatable Human	Post Product	Protein Potential	Pulpwood Product	Veneer Product
158			RISA						RISA		Ribes sanguineum		redflower currant		Ribes		Grossulariaceae		Perennial		Shrub		L48 (N), CAN (N)		Spring and Summer				None		High		Yes		Yes		No		Red		Yes		Green		Dense		Moderate		Medium		Purple		Yes		Multiple Stem		Moderate		12		12		No		No		Long		No		None		Yes		Semi-Erect		None		Yes		Yes		No		None		Medium		Yes		Medium		Medium	Medium	185	High	Medium	6	7.5	700	1700	14	30	16	None	Intermediate	7	Late Spring	Contracting Only	High	Summer	Summer	Yes	Yes	No	Yes	No	Yes	Yes	No	No	No	284000	Moderate	Medium	No	None	Yes	No	No		No	No	Yes	High	Low	Yes	No	Low	No	No
159			RITR						RITR		Ribes triste		red currant		Ribes		Grossulariaceae		Perennial		Shrub		L48 (N), AK (N), CAN (N)		Summer				None		Medium		No		No		No		Purple		No		Green		Porous		Dense		Medium		Red		Yes		Stoloniferous		Moderate		5		2		No		No		Short		No		None		Yes		Erect		None		Yes		Yes		No		None		Medium		Yes		Low		Medium		115	Low	Medium	5	7.5	1280	5120	9	60	12	None	Tolerant	-62	Late Spring	Routinely Available	Medium	Summer	Summer	No	No	No	Yes	No	Yes	Yes	No	Yes	No	215000	Rapid	Medium	No	Moderate	Yes	No	No		No	No	Yes	High	High	Yes	No	Low	No	No
160			RITR			RIRUA			RIRUA		Ribes rubrum var. alaskanum				Ribes																																																																																																																														
161			RITR			RIRUP			RIRUP		Ribes rubrum var. propinquum				Ribes																																																																																																																														
162			RITR			RITRA			RITRA		Ribes triste var. albinervium				Ribes																																																																																																																														
163			ROAC						ROAC		Rosa acicularis		prickly rose		Rosa		Rosaceae		Perennial		Subshrub		L48 (N), AK (N), CAN (N)		Spring and Summer				None		Medium		Yes		Yes		Yes		Red		Yes		Green		Moderate		Porous		Fine		Red		Yes		Multiple Stem		Rapid		1		4		No		No		Moderate		No		None		Yes		Erect		None		No		Yes		Yes		None		Low		Yes		Low		Low	High	200	High	High	6.8	7.5	2000	5000	15	60	6	None	Tolerant	-38	Early Summer	Contracting Only	High	Spring	Fall	Yes	Yes	No	Yes	No	Yes	Yes	No	No	No	32000	Moderate	High	No	Moderate	Yes	No	No		No	No	Yes	High	High	Yes	No	Medium	No	No
164			RONU						RONU		Rosa nutkana		Nootka rose		Rosa		Rosaceae		Perennial		Subshrub		L48 (N), AK (N), CAN (N)		Spring and Summer				None		Medium		Yes		Yes		Yes		Red		Yes		Dark Green		Moderate		Porous		Fine		Red		Yes		Thicket Forming		Rapid		6		10		No		No		Moderate		No		None		Yes		Erect		None		No		Yes		Yes		Low		Low		Yes		Low		Low	High	270	High	High	6.5	7	2000	5000	55	125	6	Low	Tolerant	7	Late Spring	Contracting Only	High	Spring	Fall	Yes	Yes	No	Yes	No	Yes	Yes	No	No	No	45000	Moderate	High	No	Moderate	Yes	No	No		No	No	Yes	Low	Low	Yes	No	Medium	No	No
165			ROPI2						ROPI2		Rosa pisocarpa		cluster rose		Rosa		Rosaceae		Perennial		Subshrub		L48 (N), CAN (N)						None		Medium		No		No		No		Red		Yes		Green		Dense		Dense		Coarse		Red		No		Thicket Forming		Rapid		6		3		No		No		Short		No		None		No		Irregular		None		Yes		Yes		Yes		Medium				No		Medium				77			5	7.3	1280	5120	15	104	12	None	Intolerant	-24	Summer			Spring	Fall	No	No	No	No	No	Yes	No	No	No	No	71520	Slow	Low	No	Rapid	No	No	No		No	No	No	Low	Low	Yes	No		No	No
166			ROPI2			ROPIR			ROPIR		Rosa pisocarpa var. rivalis				Rosa																																																																																																																														
167			ROPI2			RORI			RORI		Rosa rivalis				Rosa																																																																																																																														
168			RUAL						RUAL		Rubus allegheniensis		Allegheny blackberry		Rubus		Rosaceae		Perennial		Subshrub		L48 (N), CAN (N)		Spring and Summer				None		Low		No		No		No		White		Yes		Green		Moderate		Porous		Coarse		Black		Yes		Thicket Forming		Rapid		6		6		No		No		Short		No		None		Yes		Erect		None		No		Yes		Yes		Low		High		Yes		High		Medium	High	120	None	Medium	4.6	7.5	1200	4800	30	48	12	None	Tolerant	-28	Mid Spring	No Known Source	High	Summer	Summer	No	Yes	No	Yes	No	No	Yes	No	Yes	No	262000	Slow	Medium	No	Rapid	Yes	No	No		No	No	No	High	Low	Yes	No	Low	No	No
169			RUAR						RUAR		Rubus arcticus		arctic raspberry		Rubus		Rosaceae		Perennial		Subshrub, Forb/herb		L48 (N), AK (N), CAN (N), SPM (N)		Spring				None		Medium		No		No		No		Red		No		Green		Moderate		Porous		Coarse		Red		No		Rhizomatous		Moderate		2		1		No		No		Short		No		None		Yes				Slight		Yes		No		No		Medium		High		Yes		Low		Medium	Low	120	None		5	7	320	1280	10	79	12	None	Intolerant	-62	Summer	Routinely Available		Summer	Fall	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	No	270000		High	No		No	No	No		No	No	Yes	Low	Low	Yes	No		No	No
170			RUID						RUID		Rubus idaeus		American red raspberry		Rubus		Rosaceae		Perennial		Subshrub		L48 (NI), AK (NI), CAN (NI), SPM (N)		Spring				None		Medium		No		No		Yes		White		No		Green		Moderate		Porous		Coarse		Red		Yes		Thicket Forming		Moderate		9		6		No		No		Short		No		None		Yes		Erect		Slight		No		No		No						Yes		High		Medium	Medium	88	Low		5	7.5	320	1280	10	104	12	None	Tolerant	-62	Spring	Routinely Available		Summer	Summer	Yes	Yes	No	Yes	No	Yes	Yes	No	Yes	No	270000		High	No		Yes	No	No		No	No	Yes	Low	Low	Yes	No		No	No
171			RUIDS2						RUIDS2		Rubus idaeus ssp. strigosus		grayleaf red raspberry		Rubus		Rosaceae		Perennial		Subshrub		L48 (N), AK (N), CAN (N), SPM (N)						None		Medium		No		No		No		White		No		Green		Dense		Porous		Coarse		Red		No		Thicket Forming		Rapid		6		4		No		No		Short		No		None		No				None		Yes		Yes		No		Low				No		Medium			Low	88			5	7.5	1280	5120	10	104	12	None	Intolerant	-62	Late Summer			Summer	Fall	No	No	No	No	No	Yes	No	No	No	No	384000	Rapid	Medium	No		No	No	No		No	No	No	High	High	Yes	No		No	No
172			RUIDS2			RUCA15			RUCA15		Rubus carolinianus				Rubus																																																																																																																														
173			RUIDS2			RUIDM8			RUIDM8		Rubus idaeus ssp. melanolasius				Rubus																																																																																																																														
174			RUIDS2			RUIDS			RUIDS		Rubus idaeus ssp. sachalinensis				Rubus																																																																																																																														
175			RUIDS2			RUIDA			RUIDA		Rubus idaeus var. aculeatissimus				Rubus																																																																																																																														
176			RUIDS2			RUIDC2			RUIDC2		Rubus idaeus var. canadensis				Rubus																																																																																																																														
177			RUIDS2			RUIDG			RUIDG		Rubus idaeus var. gracilipes				Rubus																																																																																																																														
178			RUIDS2			RUIDM2			RUIDM2		Rubus idaeus var. melanolasius				Rubus																																																																																																																														
179			RUIDS2			RUIDM3			RUIDM3		Rubus idaeus var. melanotrachys				Rubus																																																																																																																														
180			RUIDS2			RUIDS3			RUIDS3		Rubus idaeus var. strigosus				Rubus																																																																																																																														
181			RUIDS2			RUME4			RUME4		Rubus melanolasius				Rubus																																																																																																																														
182			RUIDS2			RUNE3			RUNE3		Rubus neglectus				Rubus																																																																																																																														
183			RUIDS2			RUST			RUST		Rubus strigosus				Rubus																																																																																																																														
184			RUIDS2			RUSTA2			RUSTA2		Rubus strigosus var. acalyphaceus				Rubus																																																																																																																														
185			RUIDS2			RUSTA3			RUSTA3		Rubus strigosus var. arizonicus				Rubus																																																																																																																														
186			RUIDS2			RUSTC2			RUSTC2		Rubus strigosus var. canadensis				Rubus																																																																																																																														
187			RULA						RULA		Rubus laciniatus		cutleaf blackberry		Rubus		Rosaceae		Perennial		Vine, Subshrub		L48 (I), CAN (I)		Spring and Summer				None		High		No		No		No		White		Yes		Green		Porous		Porous		Coarse		Black		Yes		Thicket Forming		Rapid		12		12		No		Yes		Short		No		None		Yes		Erect		None		No		Yes		Yes		Low		High		Yes		Low		Medium	High	150	None	Medium	5.2	7.7	1200	4800	32	45	12	None	Tolerant	-33	Early Summer	No Known Source	High	Summer	Fall	No	Yes	No	Yes	No	No	Yes	No	Yes	No	137000		Medium	No	Rapid	No	No	No		No	No	No	High	Low	Yes	No	Low	No	No
188			RULE						RULE		Rubus leucodermis		whitebark raspberry		Rubus		Rosaceae		Perennial		Vine, Subshrub		L48 (N), AK (N), CAN (N)		Spring and Summer				None		Medium		Yes		Yes		No		White		Yes		Green		Dense		Porous		Coarse		Black		Yes		Stoloniferous		Rapid				1		No		No		Short		No		None		Yes		Decumbent		None		Yes		Yes		Yes		Low		Medium		Yes		Low		Medium	High	120	High	Medium	5.6	7.3	1200	4800	24	60	12	None	Intolerant	7	Late Spring	Contracting Only	High	Summer	Fall	No	Yes	No	Yes	No	Yes	Yes	No	Yes	No	422168	Rapid	High	No	Rapid	Yes	No	No		No	No	Yes	Medium	Medium	Yes	No	Medium	No	No
189			RUPA						RUPA		Rubus parviflorus		thimbleberry		Rubus		Rosaceae		Perennial		Subshrub		L48 (N), AK (N), CAN (N)		Spring and Summer				None				No		No		No		White		Yes		Green		Porous		Porous		Coarse		Red		Yes		Rhizomatous		Rapid		4		4		No		No		Moderate		No		None		Yes		Semi-Erect		None		No		Yes		Yes		Low		High		Yes		Medium		Medium	High	100	None	High	4.8	7.2	1200	4800	20	45	12	None	Intermediate	-28	Spring	Contracting Only	High	Spring	Summer	No	Yes	No	Yes	No	No	Yes	No	Yes	No	204000	Moderate	Low	No	Moderate	No	No	No		No	No	No	High	Low	Yes	No	Low	No	No
190			RUSP						RUSP		Rubus spectabilis		salmonberry		Rubus		Rosaceae		Perennial		Vine, Subshrub		L48 (N), AK (N), CAN (N)		Spring and Summer				None		High		No		No		No		Purple		Yes		Green		Porous		Porous		Medium		Red		Yes		Multiple Stem		Moderate		12		12		No		No		Moderate		No		None		Yes		Semi-Erect		None		No		Yes		Yes		Medium		Medium		No		High		Low	High	200	None	Medium	5.7	7.2	1700	2700	14	24	10	None	Intermediate	-33	Early Spring	Contracting Only	Medium	Spring	Spring	No	Yes	No	Yes	No	Yes	Yes	No	No	No	143000	Slow	Low	No	Slow	Yes	No	No		No	No	No	Medium	Low	Yes	No	Low	No	No
191			RUAR6						RUAR6		Rumex arcticus		arctic dock		Rumex		Polygonaceae		Perennial		Forb/herb		AK (N), CAN (N)		Spring		Rapid		None		Medium		No		No		No		Green		No		Green		Moderate		Porous		Coarse		Red		No		Single Stem		Moderate				1		No		No		Short		No		None		No		Erect		Slight		Yes		No		No		Low		Low		Yes		None		Medium	None	120	None		5	7.8	5120	20000	10	79	12	Low	Intolerant	-62	Summer	Routinely Available		Summer	Fall	Yes	Yes	No	Yes	No	No	Yes	No	No	No	544718	Moderate	High	No		No	No	No		No	No	Yes	Low	Low	Yes	No		No	No
192			SAIN3						SAIN3		Salix interior		sandbar willow		Salix		Salicaceae		Perennial		Shrub, Tree		L48 (N), AK (N), CAN (N)		Spring				None				Yes		No		No		Green		No		Green		Moderate		Porous		Medium		Brown		Yes		Single Stem		Rapid		45		30		No		No		Short		No		None		Yes		Erect		None		No		No		Yes		Medium		Low		No		Low		Low	Medium	120	Low		4	7.8	320	640	10	70	36	None	Intolerant	-62	Early Spring	Routinely Available	High		Spring	No	Yes	No	Yes	No	Yes	Yes	No	Yes	No		Rapid		No	Moderate	No	No	No	Low	No	No	Yes	Medium		Yes	No	Low	No	No
193			SAIN3			SAEXI			SAEXI		Salix exigua ssp. interior				Salix																																																																																																																														
194			SAIN3			SAEXE			SAEXE		Salix exigua var. exterior				Salix																																																																																																																														
195			SAIN3			SAEXP2			SAEXP2		Salix exigua var. pedicellata				Salix																																																																																																																														
196			SAIN3			SAEXS3			SAEXS3		Salix exigua var. sericans				Salix																																																																																																																														
197			SAIN3			SAFLS2			SAFLS2		Salix fluviatilis var. sericans				Salix																																																																																																																														
198			SAIN3			SAINE			SAINE		Salix interior var. exterior				Salix																																																																																																																														
199			SAIN3			SAINP			SAINP		Salix interior var. pedicellata				Salix																																																																																																																														
200			SAIN3			SAINW			SAINW		Salix interior var. wheeleri				Salix																																																																																																																														
201			SAIN3			SALO9			SALO9		Salix longifolia				Salix																																																																																																																														
202			SAIN3			SALOI			SALOI		Salix longifolia var. interior				Salix																																																																																																																														
203			SAIN3			SALOP2			SALOP2		Salix longifolia var. pedicellata				Salix																																																																																																																														
204			SAIN3			SALOS			SALOS		Salix longifolia var. sericans				Salix																																																																																																																														
205			SAIN3			SALOW2			SALOW2		Salix longifolia var. wheeleri				Salix																																																																																																																														
206			SAIN3			SARU9			SARU9		Salix rubra				Salix																																																																																																																														
207			SAIN3			SAWH			SAWH		Salix wheeleri				Salix																																																																																																																														
208			SALUL						SALUL		Salix lucida ssp. lasiandra		Pacific willow		Salix		Salicaceae		Perennial		Tree, Shrub		L48 (N), AK (N), CAN (N)		Spring and Summer				None				Yes		Yes		No		Green		No		Green		Moderate		Porous		Medium		Yellow		No		Thicket Forming		Rapid		80		53		No		No		Short		No		None		Yes		Erect		None		Yes		No		Yes		High		Low		Yes		Low		Low	Medium	120	Low		6	7	320	640	16	24	36	Low	Intolerant	-30	Spring	Routinely Available	High	Spring	Summer	No	Yes	No	Yes	No	Yes	Yes	No	Yes	No		Rapid		No	Moderate	No	No	No		No	No	Yes	Medium	Low	Yes	No		No	No
209			SALUL			SAAR17			SAAR17		Salix arguta				Salix																																																																																																																														
210			SALUL			SAARE			SAARE		Salix arguta var. erythrocoma				Salix																																																																																																																														
211			SALUL			SAARL3			SAARL3		Salix arguta var. lasiandra				Salix																																																																																																																														
212			SALUL			SALA17			SALA17		Salix lancifolia				Salix																																																																																																																														
213			SALUL			SALA5			SALA5		Salix lasiandra				Salix																																																																																																																														
214			SALUL			SALAA3			SALAA3		Salix lasiandra var. abramsii				Salix																																																																																																																														
215			SALUL			SALAL5			SALAL5		Salix lasiandra var. lancifolia				Salix																																																																																																																														
216			SALUL			SALAL4			SALAL4		Salix lasiandra var. lyallii				Salix																																																																																																																														
217			SALUL			SALAM4			SALAM4		Salix lasiandra var. macrophylla				Salix																																																																																																																														
218			SALUL			SALAR2			SALAR2		Salix lasiandra var. recomponens				Salix																																																																																																																														
219			SALUL			SALUM			SALUM		Salix lucida var. macrophylla				Salix																																																																																																																														
220			SALUL			SALY4			SALY4		Salix lyallii				Salix																																																																																																																														
221			SALUL			SASP8			SASP8		Salix speciosa				Salix																																																																																																																														
222			SAPU15						SAPU15		Salix pulchra		tealeaf willow		Salix		Salicaceae		Perennial		Subshrub, Shrub, Tree		AK (N), CAN (N)						None		Low		No		Yes		No		Yellow		No		Green		Moderate		Porous		Medium		Black		No		Thicket Forming		Rapid		6		3		No		No		Short		No		None		No		Erect		Slight		No		Yes		Yes		Medium				Yes		None		Low	Medium	47	Low		4.4	8.5	320	1280	4	120	12	None	Intolerant	-62	Early Spring		High	Spring	Spring	No	No	No	No	No	Yes	Yes	No	Yes	No		Rapid		No		No	No	No	Low	No	No	No	Medium	Medium	Yes	No	High	No	No
223			SAPU15			SAARG2			SAARG2		Salix arbusculoides var. glabra				Salix																																																																																																																														
224			SAPU15			SABAH			SABAH		Salix barclayi var. hebecarpa				Salix																																																																																																																														
225			SAPU15			SAFUS			SAFUS		Salix fulcrata var. subglauca				Salix																																																																																																																														
226			SAPU15			SAPHP3			SAPHP3		Salix phylicifolia ssp. pulchra				Salix																																																																																																																														
227			SAPU15			SAPHS			SAPHS		Salix phylicifolia var. subglauca				Salix																																																																																																																														
228			SAPU15			SAPH4			SAPH4		Salix phylicoides				Salix																																																																																																																														
229			SAPU15			SAPLP			SAPLP		Salix planifolia ssp. pulchra				Salix																																																																																																																														
230			SAPU15			SAPLY			SAPLY		Salix planifolia var. yukonensis				Salix																																																																																																																														
231			SAPU15			SAPUL			SAPUL		Salix pulchra var. looffiae				Salix																																																																																																																														
232			SAPU15			SAPUP4			SAPUP4		Salix pulchra var. palmeri				Salix																																																																																																																														
233			SAPU15			SAPUY			SAPUY		Salix pulchra var. yukonensis				Salix																																																																																																																														
234			SANIC5						SANIC5		Sambucus nigra ssp. cerulea		blue elderberry		Sambucus		Caprifoliaceae		Perennial		Shrub, Tree		L48 (N), CAN (N)		Spring and Summer				None				No		No		No		White		Yes		Green		Moderate				Coarse		Black		Yes		Multiple Stem		Rapid		23		23		No		No		Moderate		No		None		Yes		Erect		Moderate		Yes		Yes		No		Medium		Medium		Yes		High		Low	Medium	80	Low	Low	4.9	7.5	1746	3450	10	60	12	None	Intermediate	-38	Spring	Contracting Only	High	Summer	Fall	No	Yes	No	Yes	No	No	Yes	No	No	No	197590	Moderate	High	No	Moderate	No	No	No		No	No	Yes	Low	Low	Yes	No		No	No
235			SANIC5			SACA52			SACA52		Sambucus caerulea				Sambucus																																																																																																																														
236			SANIC5			SACAN4			SACAN4		Sambucus caerulea var. neomexicana				Sambucus																																																																																																																														
237			SANIC5			SACAV			SACAV		Sambucus caerulea var. velutina				Sambucus																																																																																																																														
238			SANIC5			SACE3			SACE3		Sambucus cerulea				Sambucus																																																																																																																														
239			SANIC5			SACEN			SACEN		Sambucus cerulea var. neomexicana				Sambucus																																																																																																																														
240			SANIC5			SACEV			SACEV		Sambucus cerulea var. velutina				Sambucus																																																																																																																														
241			SANIC5			SAGL14			SAGL14		Sambucus glauca				Sambucus																																																																																																																														
242			SANIC5			SAMEC3			SAMEC3		Sambucus mexicana ssp. caerulea				Sambucus																																																																																																																														
243			SANIC5			SAMEC			SAMEC		Sambucus mexicana ssp. cerulea				Sambucus																																																																																																																														
244			SANIC5			SAMEC4			SAMEC4		Sambucus mexicana var. caerulea				Sambucus																																																																																																																														
245			SANIC5			SAMEC2			SAMEC2		Sambucus mexicana var. cerulea				Sambucus																																																																																																																														
246			SANIC5			SANE2			SANE2		Sambucus neomexicana				Sambucus																																																																																																																														
247			SANIC5			SANEV			SANEV		Sambucus neomexicana var. vestita				Sambucus																																																																																																																														
248			SANIC5			SANIC6			SANIC6		Sambucus nigra ssp. caerulea				Sambucus																																																																																																																														
249			SANIC5			SAVE3			SAVE3		Sambucus velutina				Sambucus																																																																																																																														
250			SARAR3						SARAR3		Sambucus racemosa var. racemosa		red elderberry		Sambucus		Caprifoliaceae		Perennial		Tree, Shrub		L48 (N), AK (N), CAN (N)		Spring and Summer				None				No		Yes		No		White		Yes		Green		Moderate		Moderate		Medium		Red		Yes		Multiple Stem		Moderate		18		18		No		No		Moderate		No		None		Yes		Erect		None		No		Yes		Yes		Low		Medium		Yes		Low		High	High	200	Low	High	5.2	7.2	300	700	24	60	24	None	Intermediate	-33	Mid Summer	Contracting Only	High	Summer	Fall	No	Yes	No	Yes	No	No	Yes	No	No	No	284500	Slow	Low	No	None	No	No	No		No	No	Yes	Medium	Low	Yes	No	Low	No	No
251			SARAR3			SACA11			SACA11		Sambucus callicarpa				Sambucus																																																																																																																														
252			SARAR3			SAMI15			SAMI15		Sambucus microbotrys				Sambucus																																																																																																																														
253			SARAR3			SAPU11			SAPU11		Sambucus pubens				Sambucus																																																																																																																														
254			SARAR3			SAPUA			SAPUA		Sambucus pubens var. arborescens				Sambucus																																																																																																																														
255			SARAR3			SARAP			SARAP		Sambucus racemosa ssp. pubens				Sambucus																																																																																																																														
256			SARAR3			SARAA3			SARAA3		Sambucus racemosa var. arborescens				Sambucus																																																																																																																														
257			SARAR3			SARAL3			SARAL3		Sambucus racemosa var. laciniata				Sambucus																																																																																																																														
258			SARAR3			SARAL2			SARAL2		Sambucus racemosa var. leucocarpa				Sambucus																																																																																																																														
259			SARAR3			SARAM5			SARAM5		Sambucus racemosa var. microbotrys				Sambucus																																																																																																																														
260			SARAR3			SARAP5			SARAP5		Sambucus racemosa var. pubens				Sambucus																																																																																																																														
261			SECE						SECE		Secale cereale		cereal rye		Secale		Poaceae		Annual		Graminoid		L48 (I), AK (I), CAN (W), GL (W)		Spring, Summer, Fall		Slow		None		Medium		No		No		No		Yellow		No		Green		Moderate		Moderate		Fine		Brown		No		Bunch		Rapid				3.5		Yes		No				No		None		No		Erect		None		Yes		Yes		No		None		Medium		No		Medium		Medium	None	110	None	High	4.5	8.2			8	50	8	Medium	Intolerant	-33	Early Spring	Routinely Available	High	Spring	Summer	No	No	No	No	No	No	Yes	No	No	No	18160	Slow	Medium	Yes	None	No	No	Yes		No	No	No	High	High	Yes	No	Medium	No	No
262			SECE			SEMO			SEMO		Secale montanum				Secale																																																																																																																														
263			SECE			SEST10			SEST10		Secale strictum				Secale																																																																																																																														
264			SECE			TRCE5			TRCE5		Triticum cereale				Triticum																																																																																																																														
265			SEHY						SEHY		Senecio hydrophiloides		tall groundsel		Senecio		Asteraceae		Biennial, Perennial		Forb/herb		L48 (N), CAN (N)		Spring and Summer		Slow		None		High		No		No		No		Yellow		Yes		Green		Porous		Porous		Coarse		Brown		No		Single Crown		Moderate				0.8		No		No		Moderate		No		None		No		Erect		Slight		Yes		Yes		Yes		High		Low		No		None		Medium	High	120	None	High	5	7.5			12	24	10	None	Tolerant	-28	Mid Spring	No Known Source	Medium	Summer	Summer	No	No	No	No	No	No	Yes	No	No	No	300000	Moderate	Medium	No	None	No	No	No		No	No	No	Low		Yes	No	Low	No	No
266			SEHY			SEFO			SEFO		Senecio foetidus				Senecio																																																																																																																														
267			SEHY			SEFOH			SEFOH		Senecio foetidus var. hydrophiloides				Senecio																																																																																																																														
268			SEHY			SEPE5			SEPE5		Senecio pereziifolius				Senecio																																																																																																																														
269			SHAR						SHAR		Shepherdia argentea		silver buffaloberry		Shepherdia		Elaeagnaceae		Perennial		Tree, Shrub		L48 (N), CAN (N)		Spring and Summer				None		Medium		Yes		Yes		No		Yellow		Yes		White-Gray		Dense		Moderate		Coarse		Red		Yes		Multiple Stem		Rapid		18		18		No		No		Moderate		No		Medium		Yes		Semi-Erect		None		Yes		Yes		No		None		High		Yes		Medium		Low	Medium	110	Medium	Medium	5.3	8	300	1800	15	20	24	High	Intermediate	-38	Late Spring	Routinely Available	High	Summer	Fall	Yes	Yes	No	Yes	No	No	Yes	No	No	No	31215	Slow	Medium	No	Rapid	No	No	No		No	No	Yes	Medium	Low	Yes	No	Low	No	No
270			SHAR			ELUT			ELUT		Elaeagnus utilis				Elaeagnus																																																																																																																														
271			SHAR			LEAR10			LEAR10		Lepargyrea argentea				Lepargyrea																																																																																																																														
272			SHCA						SHCA		Shepherdia canadensis		russet buffaloberry		Shepherdia		Elaeagnaceae		Perennial		Shrub		L48 (N), AK (N), CAN (N)		Spring and Summer				None		Medium		Yes		Yes		No		Yellow		Yes		White-Gray		Dense		Moderate		Coarse		Yellow		Yes		Multiple Stem		Rapid		6		6		No		No		Moderate		No		Medium		Yes		Semi-Erect		None		Yes		Yes		No		Low		High		Yes		High		Low	Medium	95	Medium	Medium	5.3	8	300	1800	15	30	24	Medium	Intermediate	-63	Late Spring	Routinely Available	Medium	Summer	Fall	No	Yes	No	Yes	No	No	Yes	No	No	No	57563	Slow	Medium	No	Rapid	No	No	No		No	No	Yes	Medium	Low	Yes	No	Low	No	No
273			SHCA			ELCA15			ELCA15		Elaeagnus canadensis				Elaeagnus																																																																																																																														
274			SHCA			LECA13			LECA13		Lepargyrea canadensis				Lepargyrea																																																																																																																														
275			TAOF						TAOF		Taraxacum officinale		common dandelion		Taraxacum		Asteraceae		Perennial		Forb/herb		L48 (NI), AK (NI), HI (I), PR (I), CAN (NI), GL (NI), SPM (I)		Spring and Fall		Moderate		None		Low		No		No		No		Yellow		Yes		Green		Porous		Porous		Coarse		Brown		No		Single Crown		Rapid				0.5		No		No		Short		No		None		No		Prostrate		None		Yes		Yes		Yes		None		Low		No		Medium		Low		100	None	Medium	4.8	7.5			12	55	6	None	Intermediate	-38	Early Spring	Routinely Available	High	Spring	Summer	No	No	No	No	No	No	Yes	No	No	No	562480	Rapid	High	No	None	No	No	No		No	No	No	Low	Low	Yes	No		No	No
276			TRLA30						TRLA30		Tragopogon lamottei		Jack-go-to-bed-at-noon		Tragopogon		Asteraceae		Biennial		Forb/herb		L48 (I), CAN (I)																																																																																																																						
277			TRLA30			TROR11			TROR11		Tragopogon orientalis				Tragopogon																																																																																																																														
278			TRLA30			TRPR			TRPR		Tragopogon pratensis				Tragopogon										Spring and Summer		Slow		None		Medium		No		No		No		White		Yes		Green		Porous		Porous		Coarse		Brown		Yes		Single Crown		Rapid				4		No		No		Short		No		None		No		Erect		None		Yes		Yes		No		None		High		No		Medium		Medium	Low	105	None	Medium	5.2	8			14	55	10	None	Intermediate	-33	Mid Spring	No Known Source	Low	Spring	Summer	Yes	No	No	No	No	No	Yes	No	No	No	30000	Rapid	High	No	None	No	No	No		No	No	No			Yes	No		No	No
279			TRLA30			TRPRO2			TRPRO2		Tragopogon pratensis ssp. orientalis				Tragopogon																																																																																																																														
280			TRPO						TRPO		Tragopogon porrifolius		salsify		Tragopogon		Asteraceae		Biennial		Forb/herb		L48 (I), HI (I), CAN (I)		Spring and Summer		Slow		None		Medium		No		No		No		Purple		Yes		Green		Porous		Porous		Coarse		Brown		Yes		Single Crown		Rapid				4.5		No		No		Short		No		None		No		Erect		None		Yes		Yes		Yes		None		High		No		Medium		Medium	Low	110	None	Medium	5.2	7.8			14	55	10	None	Intermediate	-28	Mid Spring	No Known Source	High	Spring	Summer	Yes	No	No	No	No	No	Yes	No	No	No	29702	Moderate	High	No	None	No	No	No		No	No	No			Yes	No		No	No
281			TRGR7						TRGR7		Triteleia grandiflora		largeflower triteleia		Triteleia		Liliaceae		Perennial		Forb/herb		L48 (N), CAN (N)		Spring and Summer		Slow		None		Medium		No		No		No		Blue		Yes		Green		Porous		Porous		Fine		Brown		No		Bunch		Moderate				2		No		No		Short		No		None		No		Erect		None		No		Yes		No		Medium		Low		No		Medium		Medium	Medium	160	None	Medium	6	7.5	2700	4800	20	40	8	None	Intermediate	-33	Mid Spring	No Known Source	Medium	Spring	Spring	No	Yes	Yes	No	No	No	No	No	No	No		None		No	None	No	No	No		No	No	No	Low	Low	Yes	No	Low	No	No
