ID			Accepted Symbol			Synonym Symbol			Symbol		Scientific Name		Common Name		Genus		Family		Duration		Growth Habit		Native Status		Active Growth Period		After Harvest Regrowth Rate		Bloat		C:N Ratio		Coppice Potential		Fall Conspicuous		Fire Resistance		Flower Color		Flower Conspicuous		Foliage Color		Foliage Porosity Summer		Foliage Porosity Winter		Foliage Texture		Fruit Color		Fruit Conspicuous		Growth Form		Growth Rate		Height at Base Age, Maximum (feet)		Height, Mature (feet)		Known Allelopath		Leaf Retention		Lifespan		Low Growing Grass		Nitrogen Fixation		Resprout Ability		Shape and Orientation		Toxicity		Adapted to Coarse Textured Soils		Adapted to Medium Textured Soils		Adapted to Fine Textured Soils		Anaerobic Tolerance		CaCO<SUB>3</SUB> Tolerance		Cold Stratification Required		Drought Tolerance		Fertility Requirement	Fire Tolerance	Frost Free Days, Minimum	Hedge Tolerance	Moisture Use	pH (Minimum)	pH (Maximum)	Planting Density per Acre, Minimum	Planting Density per Acre, Maximum	Precipitation (Minimum)	Precipitation (Maximum)	Root Depth, Minimum (inches)	Salinity Tolerance	Shade Tolerance	Temperature, Minimum (°F)	Bloom Period	Commercial Availability	Fruit/Seed Abundance	Fruit/Seed Period Begin	Fruit/Seed Period End	Fruit/Seed Persistence	Propogated by Bare Root	Propogated by Bulbs	Propogated by Container	Propogated by Corms	Propogated by Cuttings	Propogated by Seed	Propogated by Sod	Propogated by Sprigs	Propogated by Tubers	Seeds per Pound	Seed Spread Rate	Seedling Vigor	Small Grain	Vegetative Spread Rate	Berry/Nut/Seed Product	Christmas Tree Product	Fodder Product	Fuelwood Product	Lumber Product	Naval Store Product	Nursery Stock Product	Palatable Browse Animal	Palatable Graze Animal	Palatable Human	Post Product	Protein Potential	Pulpwood Product	Veneer Product
21			BRJU			SIJU2			SIJU2		Sinapis juncea				Sinapis																																																																																																																														
22			BRNA						BRNA		Brassica napus		rape		Brassica		Brassicaceae		Annual, Biennial		Forb/herb		L48 (I), AK (I), CAN (I), GL (I)		Fall, Winter and Spring		Slow		None		Low		No		Yes		No		Yellow		Yes		Dark Green		Dense		Dense		Coarse		Black		No		Single Crown		Rapid				4		No		No				No		None		No		Erect		None		No		Yes		Yes		None		None		No		Low		Medium	None	130	None	Medium	6	7.2			40	80	6	None	Intolerant	17	Early Spring	Contracting Only	High	Summer	Summer	No	No	No	No	No	No	Yes	No	No	No	156960	Moderate	High	No	None	No	No	Yes		No	No	No	Medium	Medium	Yes	No	Medium	No	No
23			BRRA						BRRA		Brassica rapa		field mustard		Brassica		Brassicaceae		Annual, Biennial		Forb/herb		L48 (I), AK (I), HI (I), CAN (I), GL (I)		Spring, Summer, Fall		Moderate		None		Medium		No		No		No				No		Green		Dense		Porous		Coarse		Brown		No		Single Crown		Rapid				3		No		No				No		None		No		Erect		None		Yes		Yes		Yes		None		High		No		Low		High	Low	125	None	High	5	8			35	55	12	Medium	Intermediate	-13	Late Spring	Routinely Available	High	Summer	Summer	No	No	No	No	No	No	Yes	No	No	No	192800	Moderate	High	No	None	No	No	Yes		No	No	No	High	High	Yes	No	High	No	No
24			CALE4						CALE4		Caltha leptosepala		white marsh marigold		Caltha		Ranunculaceae		Perennial		Forb/herb		L48 (N), AK (N), CAN (N)		Spring and Summer		Slow		None		Medium		No		No		No		White		Yes		Green		Porous		Porous		Medium		Brown		No		Single Crown		Moderate				1		No		No		Moderate		No		None		No		Semi-Erect		Slight		Yes		Yes		No		Medium		Medium		No		None		Medium	Medium	80	None	High	6.6	8.2			16	40	8	None	Intolerant	-33	Late Spring	Routinely Available	Low	Summer	Summer	No	No	No	No	No	No	Yes	No	No	No	400000	Slow	Low	No	None	No	No	No		No	No	No	Medium		Yes	No	Low	No	No
25			CAQU2						CAQU2		Camassia quamash		small camas		Camassia		Liliaceae		Perennial		Forb/herb		L48 (N), CAN (N)		Spring and Summer		Slow		None		Medium		No		No		No		Blue		Yes		Green		Porous		Porous		Coarse		Brown		No		Single Crown		Moderate				2.3		No		No		Moderate		No		None		No		Erect		None		Yes		Yes		Yes		Medium		Low		Yes		None		Medium	Medium	110	None	High	5.7	7	2700	4800	16	55	10	None	Tolerant	-28	Mid Spring	Routinely Available	Low	Spring	Spring	No	Yes	Yes	Yes	No	No	Yes	No	Yes	No	117014	Slow	Medium	No	Slow	No	No	No		No	No	No			Yes	No		No	No
26			CALY3						CALY3		Carex lyngbyei		Lyngbye's sedge		Carex		Cyperaceae		Perennial		Graminoid		L48 (N), AK (N), CAN (N), GL (N)				Moderate		None		Medium		No		No		No				No		Green						Fine		Brown		No		Rhizomatous						1		No		No		Short		No		None		No		Erect		None		No		No		No		High				Yes		Low		High	None	120	None		5	6	5120	20000	7	140	12	Medium	Intolerant	-52				Summer	Summer	No	No	No	No	No	No	Yes	Yes	No	No	823186		High	Yes	Moderate	No	No	No		No	No	No			Yes	No		No	No
27			CALY3			CACR15			CACR15		Carex cryptocarpa				Carex																																																																																																																														
28			CALY3			CACR16			CACR16		Carex cryptochlaena				Carex																																																																																																																														
29			CALY3			CALYR			CALYR		Carex lyngbyei var. robusta				Carex																																																																																																																														
30			CIIN						CIIN		Cichorium intybus		chicory		Cichorium		Asteraceae		Biennial, Perennial		Forb/herb		L48 (I), CAN (I), SPM (I)		Summer		Slow		None		Medium		No		No		No		Blue		Yes		Green		Porous		Porous		Coarse		Brown		No		Bunch		Rapid				2		No		No		Short		No		None		No		Erect		None		Yes		Yes		Yes		Low		High		No		Medium		High	Medium	90	None	High	6	7.5			20	60	8	None	Intolerant	-43	Mid Summer	Routinely Available	Medium	Summer	Fall	No	No	No	No	No	No	Yes	No	No	No	426400	Rapid	High	No	None	No	No	No		No	No	No	Low	Low	Yes	No	Low	No	No
